timestamp_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_kpa,accel_lp_x_g,accel_lp_y_g,accel_lp_z_g
859387,-1.777000,-4.805000,7.968000,-0.720000,1.030000,-0.320000,101.800,4.828000,1.889000,-7.504000
859397,-1.923000,-5.068000,8.301000,-0.500000,1.120000,-0.310000,101.800,4.669000,2.325000,-7.583000
859407,-2.500000,-4.705000,8.112000,-0.210000,1.240000,-0.420000,101.800,4.436000,3.034000,-7.465000
859417,-3.967000,-4.203000,7.680000,-0.030000,1.330000,-0.610000,101.800,4.066000,3.879000,-7.421000
859427,-2.776000,-3.985000,8.145000,-0.020000,1.340000,-0.820000,101.800,3.943000,2.294000,-8.039000
859437,-1.670000,-4.288000,8.521000,-0.150000,1.300000,-0.920000,101.800,4.411000,1.671000,-8.169000
859447,-1.810000,-4.786000,8.416000,-0.270000,1.190000,-0.810000,101.800,4.612000,1.865000,-8.007000
859457,-2.275000,-4.782000,8.402000,-0.320000,1.040000,-0.630000,101.800,4.710000,2.205000,-8.154000
859467,-2.708000,-4.646000,8.626000,-0.410000,0.830000,-0.490000,101.800,4.563000,2.642000,-8.333000
859477,-2.919000,-4.717000,9.263000,-0.550000,0.600000,-0.380000,101.800,3.580000,1.453000,-10.367000
859496,-1.412000,-3.671000,10.405000,-1.260000,-1.200000,0.160000,101.800,3.781000,1.401000,-9.041000
859506,-1.799000,-5.334000,7.618000,-0.940000,-1.140000,0.150000,101.800,5.487000,2.659000,-6.225000
859516,-4.158000,-6.164000,6.249000,-0.360000,-0.140000,0.160000,101.800,5.551000,5.098000,-5.772000
859526,-5.326000,-6.718000,6.201000,0.160000,1.090000,-0.110000,101.800,6.632000,5.402000,-5.754000
859536,-4.693000,-5.664000,5.501000,0.190000,1.370000,-0.530000,101.800,5.188000,4.223000,-5.355000
859546,-3.501000,-4.240000,5.734000,-0.030000,1.240000,-0.450000,101.800,4.301000,3.328000,-5.924000
859556,-3.168000,-4.109000,6.325000,-0.400000,1.350000,-0.240000,101.800,4.240000,3.252000,-6.326000
859566,-3.615000,-4.762000,6.791000,-0.790000,1.530000,-0.140000,101.800,4.786000,3.602000,-6.585000
859576,-4.204000,-5.522000,7.275000,-0.920000,1.570000,-0.050000,101.800,5.350000,4.218000,-6.625000
859586,-4.309000,-5.797000,7.415000,-0.660000,1.400000,-0.090000,101.800,5.487000,4.147000,-6.730000
859600,-4.353000,-5.364000,7.646000,-0.320000,1.110000,-0.140000,101.800,5.164000,4.313000,-7.254000
859610,-4.055000,-5.132000,8.065000,-0.220000,0.820000,-0.130000,101.800,5.053000,3.772000,-7.580000
859620,-3.680000,-5.219000,7.943000,-0.230000,0.580000,-0.120000,101.800,5.080000,3.713000,-7.475000
859630,-3.784000,-5.251000,7.658000,-0.210000,0.420000,-0.110000,101.800,5.112000,3.732000,-7.227000
859640,-3.577000,-5.211000,7.206000,-0.220000,0.260000,-0.130000,101.800,5.066000,3.460000,-6.774000
859650,-3.466000,-5.105000,6.828000,-0.230000,0.140000,-0.100000,101.800,4.977000,3.468000,-6.470000
859660,-3.481000,-5.206000,6.631000,-0.220000,0.100000,-0.050000,101.800,5.095000,3.384000,-6.254000
859670,-3.608000,-5.373000,6.671000,-0.170000,0.100000,-0.010000,101.800,5.191000,3.644000,-6.323000
859680,-3.653000,-5.361000,6.616000,-0.120000,0.150000,0.000000,101.800,5.223000,3.558000,-6.277000
859690,-3.770000,-5.254000,6.688000,-0.120000,0.220000,0.050000,101.800,5.171000,3.772000,-6.411000
859707,-4.213000,-5.622000,7.158000,-0.190000,0.310000,0.070000,101.800,5.465000,4.142000,-6.732000
859717,-4.022000,-5.767000,7.252000,-0.180000,0.250000,0.050000,101.800,5.654000,3.926000,-6.860000
859727,-3.816000,-5.824000,7.336000,-0.130000,0.160000,0.020000,101.800,5.637000,3.816000,-6.840000
859737,-3.759000,-5.772000,7.327000,-0.020000,0.050000,0.000000,101.800,5.602000,3.767000,-6.816000
859747,-3.702000,-5.572000,7.203000,0.090000,-0.030000,0.000000,101.800,5.460000,3.683000,-6.772000
859757,-3.590000,-5.521000,7.187000,0.140000,-0.050000,0.010000,101.800,5.441000,3.580000,-6.830000
859767,-2.935000,-5.357000,7.536000,0.100000,-0.090000,0.020000,101.800,5.375000,2.985000,-7.223000
859777,-1.301000,-4.279000,8.286000,-0.160000,-0.470000,0.150000,101.800,4.360000,0.992000,-8.478000
859787,-5.208000,-5.467000,7.647000,-0.570000,-0.970000,0.320000,101.800,4.995000,6.409000,-6.132000
859799,-3.141000,-6.621000,6.926000,0.280000,-0.520000,0.140000,101.800,6.223000,2.943000,-6.367000
859809,-4.570000,-5.987000,6.159000,0.500000,-0.170000,-0.020000,101.800,5.845000,4.772000,-6.044000
859819,-5.004000,-5.359000,5.949000,0.350000,-0.250000,-0.080000,101.800,5.372000,4.708000,-5.622000
859829,-4.270000,-4.202000,5.424000,0.470000,0.000000,0.120000,101.800,4.053000,4.139000,-5.326000
859839,-4.181000,-6.064000,6.586000,0.270000,0.310000,0.330000,101.800,5.818000,4.367000,-6.156000
859849,-3.533000,-6.674000,7.854000,0.310000,0.180000,0.200000,101.800,6.306000,3.664000,-6.992000
859859,-3.341000,-5.024000,7.303000,0.660000,-0.110000,0.020000,101.800,4.982000,3.421000,-6.708000
859869,-3.785000,-4.635000,6.700000,0.900000,-0.310000,-0.010000,101.800,4.620000,3.686000,-6.492000
859879,-3.945000,-5.078000,7.215000,0.840000,-0.380000,0.000000,101.800,5.007000,3.816000,-6.909000
859889,-3.898000,-4.969000,7.598000,0.670000,-0.330000,0.080000,101.800,4.828000,3.781000,-7.230000
859900,-4.077000,-5.552000,7.803000,0.600000,-0.230000,0.110000,101.800,5.279000,4.151000,-7.372000
859910,-3.917000,-6.012000,7.519000,0.650000,-0.230000,-0.020000,101.800,5.757000,3.911000,-7.073000
859920,-3.947000,-5.712000,7.409000,0.730000,-0.420000,-0.140000,101.800,5.595000,3.992000,-7.012000
859930,-4.000000,-5.269000,7.313000,0.770000,-0.610000,-0.250000,101.800,5.188000,4.036000,-6.938000
859940,-3.133000,-6.077000,7.576000,0.900000,-0.670000,-0.280000,101.800,5.916000,3.264000,-6.750000
859950,-3.580000,-5.180000,8.157000,1.370000,-0.710000,-0.310000,101.800,5.102000,3.453000,-7.355000
859960,-3.594000,-3.556000,8.376000,1.490000,-0.820000,-0.220000,101.800,3.884000,3.495000,-8.245000
859970,-3.077000,-3.317000,8.217000,1.030000,-0.650000,-0.110000,101.800,3.326000,3.090000,-8.264000
