timestamp_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_kpa,accel_lp_x_g,accel_lp_y_g,accel_lp_z_g
26676,0.032,-0.039,9.836,0.00,0.00,0.00,100.23,-0.041,0.080,-9.428
26686,0.049,-0.041,9.842,0.00,0.00,0.00,100.23,-0.009,0.063,-9.460
26696,0.068,-0.047,9.851,0.00,0.00,0.00,100.23,-0.049,0.095,-9.399
26706,0.057,-0.053,9.844,0.00,0.00,0.00,100.23,-0.024,0.046,-9.406
26716,0.050,-0.048,9.838,0.00,0.00,0.00,100.23,-0.036,0.132,-9.416
26726,0.048,-0.043,9.853,0.00,0.00,0.00,100.23,-0.046,0.083,-9.463
26746,0.050,-0.031,9.851,0.00,0.00,0.00,100.23,-0.014,0.098,-9.431
26756,0.037,-0.044,9.856,0.00,0.00,0.00,100.23,-0.019,0.066,-9.426
26766,0.037,-0.026,9.837,0.00,0.00,0.00,100.23,-0.024,0.100,-9.419
26776,0.045,-0.029,9.825,0.00,0.00,0.00,100.23,-0.017,0.095,-9.441
26786,0.035,-0.045,9.850,0.00,0.00,0.00,100.23,-0.024,0.071,-9.448
26796,0.038,-0.052,9.842,0.00,0.00,0.00,100.23,-0.024,0.115,-9.421
26806,0.041,-0.046,9.847,0.00,0.00,0.00,100.23,-0.002,0.083,-9.416
26816,0.043,-0.059,9.848,0.00,0.00,0.00,100.23,-0.014,0.061,-9.428
26826,0.057,-0.046,9.844,0.00,0.00,0.00,100.23,-0.022,0.075,-9.485
26836,0.034,-0.035,9.855,0.00,0.00,0.00,100.23,-0.002,0.068,-9.438
26846,0.044,-0.038,9.837,0.00,0.00,0.00,100.23,0.002,0.090,-9.451
26856,0.040,-0.032,9.849,0.00,0.00,0.00,100.23,-0.024,0.066,-9.448
26866,0.032,-0.035,9.847,0.00,0.00,0.00,100.23,-0.019,0.100,-9.455
26877,0.026,-0.038,9.841,0.00,0.00,0.00,100.23,-0.019,0.129,-9.411
26887,0.051,-0.040,9.848,0.00,0.00,0.00,100.23,-0.039,0.088,-9.428
26897,0.045,-0.034,9.844,0.00,0.00,0.00,100.23,-0.044,0.066,-9.370
26907,0.051,-0.027,9.848,0.00,0.00,0.00,100.23,-0.049,0.093,-9.424
26917,0.056,-0.041,9.860,0.00,0.00,0.00,100.23,-0.012,0.090,-9.446
26927,0.059,-0.045,9.860,0.00,0.00,0.00,100.23,-0.036,0.095,-9.443
26937,0.052,-0.031,9.850,0.00,0.00,0.00,100.23,0.009,0.071,-9.458
26957,0.037,-0.041,9.845,0.00,0.00,0.00,100.23,-0.017,0.056,-9.426
26967,0.031,-0.045,9.842,0.00,0.00,0.00,100.23,-0.034,0.073,-9.433
26978,0.044,-0.045,9.853,0.00,0.00,0.00,100.22,-0.044,0.073,-9.458
26988,0.047,-0.047,9.846,0.00,0.00,0.00,100.22,-0.022,0.049,-9.416
26998,0.023,-0.037,9.827,0.00,0.00,0.00,100.22,-0.014,0.080,-9.411
27008,0.036,-0.030,9.853,0.00,0.00,0.00,100.22,-0.014,0.112,-9.404
27018,0.048,-0.029,9.860,0.00,0.00,0.00,100.22,-0.046,0.039,-9.453
27028,0.050,-0.033,9.848,0.00,0.00,0.00,100.22,-0.066,0.053,-9.438
27038,0.057,-0.046,9.838,0.00,0.00,0.00,100.22,-0.024,0.083,-9.389
27048,0.059,-0.045,9.854,0.00,0.00,0.00,100.22,-0.036,0.075,-9.441
27058,0.049,-0.050,9.882,0.00,0.00,0.00,100.22,-0.031,0.095,-9.419
27068,0.046,-0.055,9.821,0.00,0.00,0.00,100.22,0.031,0.053,-9.428
27080,0.043,-0.050,9.832,0.00,0.00,0.00,100.22,-0.039,0.075,-9.433
27090,0.038,-0.043,9.826,0.00,0.00,0.00,100.22,-0.009,0.085,-9.399
27100,0.038,-0.050,9.821,0.00,0.00,0.00,100.22,0.041,0.053,-9.389
27110,0.064,-0.051,9.845,0.00,0.00,0.00,100.22,0.019,0.098,-9.409
27120,0.065,-0.046,9.849,0.00,0.00,0.00,100.22,0.009,0.063,-9.426
27130,0.046,-0.018,9.867,0.00,0.00,0.00,100.22,-0.053,0.080,-9.448
27140,0.047,-0.028,9.835,0.00,0.00,0.00,100.22,-0.004,0.066,-9.436
27150,0.040,-0.016,9.834,0.00,0.00,0.00,100.22,-0.029,0.071,-9.436
27170,0.038,-0.038,9.847,0.00,0.00,0.00,100.22,-0.024,0.073,-9.414
27181,0.049,-0.058,9.859,0.00,0.00,0.00,100.22,-0.026,0.058,-9.470
27191,0.073,-0.067,9.857,0.00,0.00,0.00,100.22,0.034,0.090,-9.455
27201,0.074,-0.058,9.833,0.00,0.00,0.00,100.22,0.046,0.056,-9.384
27211,0.083,-0.044,9.840,0.00,0.00,0.00,100.22,-0.031,0.046,-9.409
27221,0.074,-0.056,9.842,0.00,0.00,0.00,100.22,-0.004,0.049,-9.387
27231,0.067,-0.033,9.845,0.00,0.00,0.00,100.22,-0.051,0.058,-9.414
27241,0.039,-0.015,9.849,0.00,0.00,0.00,100.22,-0.026,0.066,-9.455
27251,0.034,-0.029,9.839,0.00,0.00,0.00,100.22,-0.044,0.061,-9.433
27261,0.028,-0.026,9.842,0.00,0.00,0.00,100.22,-0.036,0.117,-9.402
27271,0.030,-0.040,9.838,0.00,0.00,0.00,100.22,-0.053,0.098,-9.446
27282,0.047,-0.056,9.844,0.00,0.00,0.00,100.22,-0.007,0.098,-9.451
27292,0.034,-0.064,9.857,0.00,0.00,0.00,100.22,-0.012,0.085,-9.409
27302,0.050,-0.056,9.836,0.00,0.00,0.00,100.22,-0.024,0.122,-9.438
27312,0.052,-0.052,9.841,0.00,0.00,0.00,100.22,-0.039,0.066,-9.406
27322,0.043,-0.064,9.824,0.00,0.00,0.00,100.22,-0.022,0.036,-9.465
27332,0.054,-0.043,9.839,0.00,0.00,0.00,100.22,-0.073,0.063,-9.431
27342,0.060,-0.036,9.862,0.00,0.00,0.00,100.22,-0.041,0.056,-9.451
27352,0.065,-0.049,9.859,0.00,0.00,0.00,100.22,-0.002,0.063,-9.451
27362,0.062,-0.044,9.842,0.00,0.00,0.00,100.22,-0.049,0.053,-9.424
27383,0.046,-0.037,9.844,0.00,0.00,0.00,100.22,-0.039,0.063,-9.468
27393,0.035,-0.049,9.848,0.00,0.00,0.00,100.22,-0.044,0.044,-9.436
27403,0.050,-0.046,9.832,0.00,0.00,0.00,100.22,-0.007,0.058,-9.443
27413,0.052,-0.050,9.839,0.00,0.00,0.00,100.22,-0.012,0.090,-9.465
27423,0.029,-0.056,9.838,0.00,0.00,0.00,100.22,-0.022,0.083,-9.424
27433,0.052,-0.036,9.821,0.00,0.00,0.00,100.22,-0.012,0.075,-9.441
27443,0.065,-0.040,9.850,0.00,0.00,0.00,100.22,-0.017,0.088,-9.409
27453,0.052,-0.048,9.851,0.00,0.00,0.00,100.22,-0.029,0.107,-9.411
27463,0.050,-0.026,9.853,0.00,0.00,0.00,100.22,-0.051,0.090,-9.443
27473,0.040,-0.032,9.852,0.00,0.00,0.00,100.22,-0.002,0.122,-9.448
27484,0.046,-0.050,9.844,0.00,0.00,0.00,100.22,-0.014,0.095,-9.394
27494,0.037,-0.037,9.850,0.00,0.00,0.00,100.22,-0.017,0.073,-9.453
27504,0.043,-0.065,9.823,0.00,0.00,0.00,100.22,-0.041,0.085,-9.379
27514,0.045,-0.051,9.853,0.00,0.00,0.00,100.22,-0.056,0.088,-9.441
27524,0.044,-0.053,9.858,0.00,0.00,0.00,100.22,-0.012,0.107,-9.406
27534,0.041,-0.058,9.854,0.00,0.00,0.00,100.22,-0.009,0.071,-9.419
27544,0.057,-0.038,9.843,0.00,0.00,0.00,100.22,-0.007,0.066,-9.441
27554,0.050,-0.042,9.851,0.00,0.00,0.00,100.22,-0.024,0.080,-9.419
27564,0.064,-0.031,9.847,0.00,0.00,0.00,100.22,-0.017,0.083,-9.441
27586,0.077,-0.050,9.854,0.00,0.00,0.00,100.22,-0.036,0.085,-9.431
27596,0.064,-0.048,9.866,0.00,0.00,0.00,100.22,-0.019,0.066,-9.416
27606,0.054,-0.037,9.855,0.00,0.00,0.00,100.22,0.026,0.098,-9.458
27616,0.037,-0.052,9.845,0.00,0.00,0.00,100.22,-0.024,0.075,-9.416
27626,0.042,-0.047,9.850,0.00,0.00,0.00,100.22,0.009,0.095,-9.416
27636,0.046,-0.041,9.852,0.00,0.00,0.00,100.22,-0.034,0.098,-9.424
27646,0.028,-0.043,9.841,0.00,0.00,0.00,100.22,-0.036,0.098,-9.428
